count	specialization	example_business_names	example_top_items
54	Event decoration and setup	A Touch Of Love | Balloons Boards And Baubles LLC | Balloons Galore and Decor | Dime Designz | JB Event Decor	360 Photo Booth | Chair covers | Centerpieces | Table cloths | Candy station
49	auto body repair and painting	A-1 Auto Body | Daves Auto Motive Repair And Accessories | Jorges Auto Body And Paint | Pablo | Polished to Perfection	Paint and materials | Front LH fender | Front bumper | Front RH door | Front LH Door
43	Garage door repair and installation	All Seasons Garage Door Service | Andrew Brien ABN 74617740598 | Bills Garage Doors | OA Garage Door & Gates | Richardson Overhead Doors	Trip charge | Genie 2128 7 ft | Genie 6170 | 10x10 white insulated | Genie 6170 Sidemount opener
27	Event decoration and planning	Emalya Events | Epihanies Weddings & Events | Luv4Life Decor | Parties. By. Tammie | RBJ Touch Of Class	NAAW SERVICES | Decorations on tent | Decorations on tent & Driveway | Tassa | Mandap for wedding
27	Garage door installation and repair	Mateo Caraveo | Nicholas Jones | Okie Overhead Door | S&A Overhead Door Of Prosper | South Valley Garage Doors	1- keypad | 1-18x8 flash double steel with smart siding garage door | Replace springs on 16x7 garage door | 1- lift master opener with 2 remotes | Replacement of bottom section 16’x21” wood door model 125 and #2 section and build design with 1x6 cedar to match the old door and replace 2 new struts that was damage with the car
21	auto repair and maintenance	Automatic Car Service | Brighams Helping Hand LLC | Emmanuel Wari Longa | Z's Detailing & Automotive	Oil filter | Essential car service | Engine oil | Workshop supply | Labour
21	Event equipment rental and setup	Algo Más Que Sillas! | Djmppartyrental | Joseph K. Hing III | L&S Market Sales Inc. | Savage Events	Refundable deposit | Delivery/pickup | 6ft rectangular table | Table cloth | Delivery and collection
18	Event decoration and balloon art	Balloons By Wendie LLC | Kelsie Grogan - Knot Just Balloons | PerkFect Pop Decor and More | Randi Browning-Randition | The Party Mom Co.	Grab and go garland | Market set up | Balloon garland | Delivery | Back drop
17	auto detailing	Finishfirstdetailingllc | Kings Detailing | OTG Detailing | Quality Auto Detailing | Stewart’s Detailing of St.Augustine	Monthly Membership (Any Vehicle) | Deep Interior Detail (Vans/SUV) | Full detail | Refresh | New Car PDI
16	event decoration and setup	Bliss Decorators | Marquees4rnt, LLC | Partique | Party & Bash Balloon Co Corp. | Robert’s balloon’s creations	Decoration total | Transport | Wishing Bouque | Stage decoration | Offertory
16	solar energy system installation and components	ABD Abdulhadi Trading | J&T SOLAR ENERGY | JAVID SOLAR ENERGY | Qualitysolar energy	Transportation | Distribution box complete | Installation Charges | Customized structure | Earthing & lightening protection
15	event equipment rental and setup	Koperasi Seri Astana Pulau Pinang Berhad  | PERNIAGAAN ULAN | Party Rentals JV | SARAÍ PARTY EQUIPMENT RENTAL SERVICES | Spacemagic Luxury	Holding fee | Chaffing dish | Table clothes | Plates | Cups
14	Catering and event food service	Canapes Haven Catering | Chelis Taquizas Y Buffet’s | Hermanas Catering | Jellys Botanas & Mas | Tonya’s Fine Catering LLC	Taquiza | Taco service | Mini Pancakes  Bar | Buffet | Taco bar
14	pressure washing and exterior cleaning	A&G All Construction Corp. | Blueleaf - Fleet & Power Wash | Diamond Pressure Powerwash | Pacific Pressure Pros | Riggs Pressure Washing Solutions	Powerwash | Re-sand pavers | Gutter Clean & Gutter Guard Installation | Soft-wash | Gutter Clean & Flush
14	towing and roadside assistance	Epic Towing LLC | Kingdom Towing | LSX Towing LLC | Strong Towing | Tow With The AAA Boys	Accident Clean Up | Gate fee￼ | Towing | Labor | Admin Fee
13	Event decoration and rental services	Balloon Decorations LLC | COLOUR SHADES EVENTS | Capture And Created By Naty | The Balloon Girl Events  | VIP Party Props	Delivery fee | Delivery Fee | Marquee number “1” | Marquee letter “I” | “OH BABY” marquee letters
13	Fence installation and repair	Classic Fence Company LLC | Empire State Fence LLC | On-side Fence | Prestige Fence Company | SA Wooden Fence	Tear out old fence and install new cedar on metal along back | Install iron fence | SA Wooden Fence | 4’ iron gate | Install cedar fence on west side and 2 gates
13	Moving and relocation services	Always In Motion LLC | Ezmiz Movers LLC | JC Movers & Senior Transitions Of SWFL | Rescue 1 Movers | UPSTATE MOVING SERVICES LLC	Move | Small job | Moving | Office move | 131 walnut to 11 flannery
13	window and door installation and repair	Esteban Windows And doors Inc.. | Glazion Windows And Doors Experts Corp. | JS Windows and Doors LLC | Planet of windows and doors | YMG WINDOWS & DOORS LLC	IMPACT HORIZONTAL ROLLING WINDOW GREY GLASS 7/16 WHITE FRAME | IMPACT HORIZONTAL ROLLING WINDOW GREY GLASS 7/16 BRONZE FRAME | DELIVERY & INSTALLED | IMPACT FIX WINDOWS GREY GLASS 7/16 WHITE FRAME | IMPACT STOREFRONT GREY GLASS 7/16 BRONZ FRAME
12	auto detailing and paint correction	All In The Details | BP Truck Detailing  | DVO Detailing | EDC Auto Salon | The Clarity Solution	Interior detail | ARTDESHINE NGC + | Interior & exterior detail | Maintenance Detail | Comprehensive paint correction
