EntityType	Тип события	Действие	Создается offline	Payload	Текст в job	Текст в invoice	Текст в estimate	Условия показа
Job	jobCreated	Создание джобы	Yes	{ }	You created job			no estimateJobCreated event
Job	jobCreatedFromEstimate	Создание джобы из эстимейта	Yes	"{ ""estimateId"": ""fsdfsdf"", ""docNumber"": ""ES001"" }"				OBSOLETE → estimateJobCreated
Job	visitCreated	Создание первого визита (без воркера)	Yes	"{ ""visitId"": ""guid"", ""scheduledDate"": ""2024-10-23T12:00:00Z"", ""workerId"": null, ""workerName"": null, ""visitCount"": 1 }"	You scheduled a visit on [{October 23} at {12:00 PM}](tofu://visit?id=visitId)			visitCount = 1 AND workerId = null
Job	visitCreated	Создание первого визита (с воркером)		"{ ""visitId"": ""guid"", ""scheduledDate"": ""2024-10-23T12:00:00Z"", ""workerId"": ""worker-guid"", ""workerName"": ""Worker name"", ""visitCount"": 1 }"	You scheduled a visit for {Worker name} on [{October 23} at {12:00 PM}](tofu://visit?id=visitId)			visitCount = 1 AND workerId != null
Job	visitCreated	Создание не первого визита (без воркера)	Yes	"{ ""visitId"": ""guid"", ""scheduledDate"": ""2024-10-23T12:00:00Z"", ""workerId"": null, ""workerName"": null, ""visitCount"": 2 }"	You created a visit on [{October 23} at {12:00 PM}](tofu://visit?id=visitId)			(visitCount > 1 OR visitCount = null) AND workerId = null
Job	visitCreated	Создание не первого визита (с воркером)		"{ ""visitId"": ""guid"", ""scheduledDate"": ""2024-10-23T12:00:00Z"", ""workerId"": ""worker-guid"", ""workerName"": ""Worker name"", ""visitCount"": 2 }"	You created a visit for {Worker name} on [{October 23} at {12:00 PM}](tofu://visit?id=visitId)			(visitCount > 1 OR visitCount = null) AND workerId != null
Job	visitWorkerChanged	Ассайн визита на воркера		"{ ""visitId"": ""guid"", ""previousWorker"": null, ""newWorker"": { ""workerId"": ""worker-guid"", ""workerName"": ""Worker name"" } }"	You assigned [the visit](tofu://visit?id=visitId) to {Worker name}			The visit - ссылка с тултипом
Job	visitStatusChanged	Старт визита менеджером	Yes	"{ ""visitId"": ""guid"", ""previousStatus"": ""scheduled"", ""newStatus"": ""in_progress"", ""workerName"": null }"	You started [the visit](tofu://visit?id=visitId)			The visit - ссылка с тултипом
Job	visitStatusChanged	Завершение визита менеджером	Yes	"{ ""visitId"": ""guid"", ""previousStatus"": ""in_progress"", ""newStatus"": ""completed"", ""workerName"": null }"	You completed [the visit](tofu://visit?id=visitId)			The visit - ссылка с тултипом
Job	visitStatusChanged	Старт визита воркером	Yes	"{ ""visitId"": ""guid"", ""previousStatus"": ""scheduled"", ""newStatus"": ""in_progress"", ""workerName"": ""Worker name"" }"	{Worker name} started [the visit](tofu://visit?id=visitId)			The visit - ссылка с тултипом
